name,embedding,posisi
Angelina Jolie,"[-0.9477616548538208, 0.3950599431991577, 1.1078590154647827, -0.6505393385887146, 0.35621699690818787, -0.8199390769004822, 1.0242317914962769, 1.0196869373321533, 0.6692172884941101, 1.8058264255523682, -1.8045183420181274, 0.11413907259702682, -0.6927669644355774, 0.7290008068084717, -0.49347975850105286, -0.31105583906173706, -1.642464280128479, -1.061861276626587, 0.28241950273513794, -0.8535166382789612, 1.1807529926300049, -0.9641643166542053, -0.8637393712997437, 0.06930657476186752, -2.3500101566314697, 1.8920762538909912, -0.24640673398971558, -1.5998278856277466, 0.772182285785675, 0.8080435991287231, -0.03351017087697983, 1.0467710494995117, 0.19182918965816498, -0.7540797591209412, 1.6533594131469727, -0.41833847761154175, -1.1781309843063354, -0.0033105164766311646, 1.9205725193023682, 0.11419356614351273, -0.256387859582901, 0.8973883390426636, -0.8511782884597778, 0.129934623837471, -0.5100046396255493, 0.7737441062927246, -0.9950565099716187, 1.2577553987503052, -0.7689298391342163, 0.19136114418506622, 0.22804954648017883, 2.434013843536377, -0.03285149484872818, 0.34962767362594604, -0.030394546687602997, -0.794500470161438, -0.8314930200576782, -0.8897372484207153, 0.23055538535118103, 1.6936743259429932, -0.5660567879676819, -0.5319347977638245, -2.3296597003936768, -1.536503553390503, 0.5864760875701904, -0.5912753343582153, -0.29654592275619507, 1.3309437036514282, 1.0788967609405518, 1.3042243719100952, 0.0247872956097126, 0.3263164162635803, 0.3903437852859497, -0.4949835538864136, 0.5996188521385193, -0.46707144379615784, -0.03929838538169861, -0.8803254961967468, -0.6846110820770264, -1.5434023141860962, 0.801211416721344, -1.4697939157485962, 0.20095865428447723, -2.2704997062683105, -1.547104835510254, -0.6644811630249023, -1.308645486831665, -0.7955271601676941, 0.19639286398887634, 0.24182036519050598, -1.6916193962097168, 1.9302713871002197, -0.8590828776359558, -0.6014392375946045, 0.03184523060917854, 1.6027324199676514, -0.47368142008781433, 0.7840207815170288, 0.13318124413490295, -0.3183905780315399, 0.16746467351913452, 0.26159775257110596, -2.623889446258545, -1.0524860620498657, -0.36492815613746643, -0.20680241286754608, 0.9541885852813721, -0.5857565402984619, 0.23520013689994812, 0.8751946091651917, 0.2185884565114975, -0.4706333875656128, -0.9258924722671509, -1.2105751037597656, 0.27052798867225647, 1.349618911743164, 0.23481640219688416, -0.8134828805923462, -0.230135977268219, -0.1921059936285019, 0.37641626596450806, -1.5295181274414062, -0.7747457027435303, -0.28480568528175354, -0.10563251376152039, 0.005867503583431244, 0.7389087677001953, 0.6542691588401794]",Oscar Actress
Heydar,"[0.9701489210128784, -0.8604632616043091, -1.0610694885253906, -0.8751287460327148, -0.1714049130678177, 0.7839826345443726, 0.9313350319862366, -0.14538347721099854, 0.9897847771644592, 0.42084038257598877, -1.8883305788040161, 0.16870827972888947, -0.4730669856071472, -1.0415393114089966, -0.023365192115306854, -1.1090348958969116, 0.6923071146011353, -2.02742600440979, -0.6702759265899658, -1.7668752670288086, 0.7928318977355957, -0.28041064739227295, -1.2973254919052124, -0.21281284093856812, 2.6842408180236816, -0.4746936559677124, 0.43769311904907227, 1.064907193183899, 0.5729874968528748, -0.09716329723596573, 0.007996030151844025, 0.15968751907348633, 0.1859365850687027, -1.2432920932769775, 0.21227394044399261, 0.049400340765714645, -2.2083189487457275, -0.37562689185142517, 0.905116081237793, -0.8774609565734863, -1.2150315046310425, 1.4035205841064453, -1.839016079902649, -1.2761107683181763, 0.48316359519958496, 0.23603984713554382, -0.676658570766449, 0.22028394043445587, -1.2902761697769165, -0.24324828386306763, -0.90247642993927, 1.1243808269500732, 1.1717246770858765, -2.220949172973633, 0.43853846192359924, 0.4667445123195648, 0.34104886651039124, -1.4922294616699219, 1.3877673149108887, 0.1447003185749054, -0.11781608313322067, -0.9390806555747986, -0.38381004333496094, -0.6484266519546509, 1.381614327430725, 0.054189711809158325, 0.27411580085754395, 0.45092880725860596, -0.105772003531456, -1.8459198474884033, 0.07312338799238205, 0.04912957549095154, -1.06895911693573, -3.202855110168457, 1.3119524717330933, 0.2838161885738373, 0.2629288136959076, 0.8409473299980164, 0.683222770690918, 0.44066065549850464, -0.17299240827560425, 1.053034782409668, -0.8461578488349915, -1.4761368036270142, 0.313912034034729, -0.3184558153152466, -0.5773003697395325, -1.516259789466858, 0.38580322265625, 1.7120498418807983, 1.2734748125076294, 0.7651863098144531, -1.5175284147262573, 0.7658241987228394, 0.11059330403804779, 1.616589069366455, -1.4170408248901367, -0.3805600106716156, -0.46243658661842346, 1.934585690498352, 1.707106113433838, 0.4357638955116272, 0.7996546626091003, -1.7526012659072876, -1.882512092590332, 0.37203675508499146, -1.262335181236267, -0.5790961980819702, 0.42956143617630005, -0.2688722014427185, -1.0208312273025513, 0.8029398918151855, -0.46276673674583435, -0.7224524617195129, 1.8713645935058594, 0.7818950414657593, -1.163238763809204, 1.9745947122573853, 0.5873406529426575, 1.2267813682556152, 2.235253095626831, -0.019589893519878387, 0.15141050517559052, 0.29207301139831543, 0.7884995937347412, -0.506626546382904, 0.9359166026115417, -1.50346040725708]",walkot
Ica,"[-0.12632498145103455, 0.42738738656044006, 0.11047834903001785, -0.21226227283477783, -2.2663357257843018, 0.9532721042633057, 0.9152557253837585, -0.5006842017173767, 1.0328384637832642, 0.6928492784500122, -0.3360680937767029, -1.952646255493164, -0.5417854189872742, 0.29657378792762756, -0.770929217338562, 0.0731932520866394, -0.6764065027236938, -2.2247164249420166, 0.18934892117977142, -0.37333545088768005, 2.2193715572357178, -1.0790265798568726, -0.3527146577835083, -1.1741360425949097, -0.5390905737876892, -0.5288427472114563, 0.15665367245674133, -0.259345144033432, -1.1340398788452148, 0.9708676338195801, -2.10507869720459, -0.5168962478637695, -1.2960281372070312, 0.6603654026985168, 2.295287609100342, -0.6159685850143433, -0.6819710731506348, -0.2333931028842926, 1.5543007850646973, -0.5371148586273193, -0.0682242214679718, -0.49348869919776917, -1.9123929738998413, -0.4813348948955536, -0.30988961458206177, -1.1815464496612549, -0.3008420765399933, 1.7130922079086304, -0.5275362133979797, -0.9222913980484009, -0.8070386648178101, 1.6745262145996094, 0.12174322456121445, -1.7336357831954956, 0.5325338244438171, 0.6740186810493469, 2.168220281600952, 0.4127310812473297, 1.5183130502700806, -0.4067653715610504, -0.619498610496521, 1.3124397993087769, -0.7562217712402344, -0.365748792886734, 0.09615673869848251, 0.5596333146095276, 0.4420028328895569, 0.7143141627311707, -1.5663933753967285, -0.10953550040721893, 0.5769668221473694, 0.004054442048072815, 0.2362203150987625, -1.1936746835708618, -1.567915678024292, 1.85438871383667, -0.3000430464744568, -0.33817580342292786, -0.8381139636039734, -1.983027458190918, 0.39085182547569275, -1.0288358926773071, -0.09864423424005508, -0.6109886765480042, 2.059671640396118, -3.3415262699127197, -0.9557206034660339, -0.2940524220466614, -0.5601367950439453, -1.0648895502090454, -0.27812448143959045, -0.3268289864063263, 0.40135568380355835, 1.8421308994293213, -0.9242661595344543, 0.6666244864463806, 0.3478468358516693, 1.2989054918289185, -0.476022869348526, 0.3063652217388153, 1.8005955219268799, -1.1355316638946533, -1.3925368785858154, -0.081068255007267, -0.8540544509887695, 0.7916085720062256, 0.9209903478622437, 0.21027399599552155, 0.06713172048330307, 1.2383794784545898, 1.5460604429244995, -1.1286720037460327, 0.8388810157775879, -0.17712432146072388, -1.3688220977783203, 0.26201340556144714, 1.380395531654358, -0.08652663230895996, -1.025617241859436, 1.9102861881256104, 2.594602108001709, 1.304671049118042, -1.1781461238861084, -0.949416995048523, 0.5039845108985901, 0.6887324452400208, 0.9545304179191589, -1.6910185813903809]",Engineer
Indah,"[1.0456657409667969, 0.2908369302749634, -0.9250693321228027, -1.9323238134384155, -0.9574688673019409, -0.5759502649307251, 0.3635901212692261, -0.8543259501457214, -1.7959846258163452, 1.2955338954925537, -0.5996544361114502, -0.7274169921875, -0.5113474726676941, -0.3500540256500244, 1.6795172691345215, 0.9012129902839661, 1.27617609500885, -1.781531810760498, 0.23857459425926208, -0.6390764117240906, -0.47074735164642334, -0.07659748196601868, -1.2972955703735352, 0.8992202877998352, 0.10089249908924103, 1.1728686094284058, -0.035836901515722275, 0.7752074599266052, -0.07759355008602142, 0.9856170415878296, -0.6532468795776367, -0.2544313073158264, -2.084782123565674, -0.88749760389328, 2.4667699337005615, 0.41931387782096863, -1.9574854373931885, 0.5689582228660583, 2.4255192279815674, 1.7174807786941528, -0.11933943629264832, -0.4804876446723938, 0.0472111850976944, -0.3693244755268097, 1.5683177709579468, -1.3371293544769287, 0.5338959693908691, 1.2857685089111328, -1.0241875648498535, -0.7862212657928467, -0.8542369604110718, 1.7798142433166504, 0.3996180295944214, -0.7466127872467041, -1.2549629211425781, 0.09089910984039307, 1.180631160736084, -0.5380967855453491, 0.6926686763763428, 0.4637466371059418, 0.9109793901443481, -0.817656934261322, -0.6983811855316162, 0.0043046437203884125, 0.2469271421432495, -0.37406545877456665, 1.0360575914382935, 0.0688440278172493, -0.18127715587615967, -0.5684984922409058, -0.5350144505500793, 0.8376243114471436, 1.2535277605056763, -1.8760879039764404, 0.482857346534729, 0.053919240832328796, 0.6718965768814087, -0.008349720388650894, -0.5178167223930359, -1.8122122287750244, -0.7152988910675049, 0.47950127720832825, -1.7752708196640015, -0.274184912443161, 0.8256471157073975, -2.119596481323242, -0.30292490124702454, -2.199932813644409, 0.09482434391975403, 0.3911881744861603, 0.22612988948822021, 0.26048600673675537, 0.7074697613716125, 0.020130954682826996, 0.56246417760849, -0.31193405389785767, 1.4361425638198853, 1.09261155128479, -1.0801827907562256, 0.6531038284301758, 2.1607587337493896, 0.20145690441131592, 0.06608738005161285, 0.14555330574512482, -0.10297694802284241, -0.032982807606458664, -0.20737461745738983, 0.4751361012458801, 0.20385202765464783, 0.4439164102077484, 0.5936741232872009, 1.0842312574386597, 1.695109248161316, -0.35739830136299133, 0.04753216356039047, -0.8107783794403076, -0.35089391469955444, 2.3168721199035645, 0.37163564562797546, 1.4569278955459595, 1.5688951015472412, 1.2959190607070923, -0.08982698619365692, -0.5094954967498779, 0.17007063329219818, -0.3957895338535309, -0.04738907516002655, -1.8183629512786865]",Dirut elnusa
Irsan,"[-1.5055979490280151, 0.08052563667297363, -1.5164052248001099, 0.5830974578857422, -0.2395305633544922, -0.32575082778930664, 1.3174046277999878, -0.4573555290699005, 0.21026268601417542, -0.11000402271747589, -1.6152150630950928, -0.24652980268001556, -0.3129175305366516, 0.04176728427410126, 0.09781722724437714, 0.14885875582695007, 1.6311004161834717, -0.7666848301887512, -0.5264177322387695, 0.6819593906402588, 0.30700400471687317, 0.7861621975898743, -1.862475872039795, -1.104036569595337, -1.9237093925476074, -0.7421891093254089, 1.6931614875793457, -0.21922892332077026, -1.8079638481140137, 1.3600062131881714, -0.5060067176818848, 1.0848852396011353, 0.9975921511650085, -0.4689101278781891, 0.021520907059311867, -1.4326934814453125, -1.2219483852386475, -0.7249072790145874, 0.7287158966064453, -2.530665397644043, -1.6140022277832031, -0.1327231079339981, -3.1159586906433105, -0.09863903373479843, 0.28252115845680237, -1.481680154800415, 0.668289303779602, -0.03367467224597931, -0.8853303790092468, 2.026732921600342, 0.040921732783317566, 1.8298779726028442, -0.5357891917228699, -1.910224437713623, 1.6315257549285889, -0.12219969928264618, -0.5903177261352539, -0.05367279797792435, -1.763926386833191, -0.7202898263931274, -0.8438597917556763, 0.14135488867759705, 0.6239516139030457, 0.9827625155448914, 1.089084267616272, 0.779452383518219, 0.0746440440416336, 1.246877670288086, 0.16425007581710815, 0.33676576614379883, 0.9645686149597168, -1.4679632186889648, 0.7038718461990356, -2.396991729736328, 0.7760874032974243, 0.259659081697464, -1.1450108289718628, -2.0614113807678223, -0.15958742797374725, -0.8926176428794861, -0.6115802526473999, 0.694210410118103, 0.19931362569332123, 2.174426317214966, 1.1667957305908203, 1.8335210084915161, 0.21342991292476654, -0.9971515536308289, -1.2644397020339966, -1.2257037162780762, 0.46136578917503357, 0.46161365509033203, 0.006715264171361923, 1.0654330253601074, 0.19684810936450958, 0.019112931564450264, 0.4301604628562927, 0.9922431707382202, -1.9154250621795654, 0.7315331697463989, 0.15340743958950043, 2.590132474899292, -0.525943398475647, -0.35868868231773376, -0.2559296488761902, -1.9171810150146484, -0.4449886083602905, 0.025454431772232056, -0.43605297803878784, 0.5363214015960693, -2.240678310394287, 0.5340906381607056, 0.259926974773407, 1.4256051778793335, -2.170208692550659, -0.3657778799533844, -1.1440138816833496, 1.0555185079574585, -1.2327922582626343, 0.5837456583976746, 0.6071892976760864, 2.0040183067321777, 0.5714849829673767, -1.0676440000534058, 0.11478709429502487, -0.7670699954032898, -0.5017916560173035, 0.4280153810977936]",bupati sleman
Unknown,"[-1.541339635848999, 0.01713304966688156, -1.4817945957183838, 0.5274852514266968, -0.15994411706924438, -0.3699813187122345, 1.3029634952545166, -0.4757215678691864, 0.25507912039756775, -0.21233497560024261, -1.57448410987854, -0.20328783988952637, -0.2772808372974396, -0.01986074447631836, 0.07384098321199417, 0.15025381743907928, 1.5666061639785767, -0.6632740497589111, -0.5077560544013977, 0.7236537933349609, 0.31842899322509766, 0.7947362065315247, -1.8076248168945312, -1.1310169696807861, -1.9868180751800537, -0.8960230350494385, 1.6232037544250488, -0.25234052538871765, -1.8271011114120483, 1.3454011678695679, -0.5063385963439941, 0.9734872579574585, 0.9807860255241394, -0.4263385236263275, -0.14598388969898224, -1.45858633518219, -1.1318795680999756, -0.7347363829612732, 0.8889122009277344, -2.5404088497161865, -1.565521240234375, -0.1499875783920288, -3.090520143508911, -0.1682753562927246, 0.1858009696006775, -1.3686132431030273, 0.5512417554855347, -0.12474507093429565, -0.8930080533027649, 2.089874029159546, -0.05087606608867645, 1.8425475358963013, -0.5295859575271606, -1.8786239624023438, 1.587544322013855, -0.11475914716720581, -0.667224645614624, -0.08211711049079895, -1.7821279764175415, -0.6993735432624817, -0.8268706798553467, 0.04501727223396301, 0.6450474262237549, 1.0233097076416016, 1.115443468093872, 0.8155871033668518, 0.10666253417730331, 1.212084174156189, 0.1346203088760376, 0.22845236957073212, 0.8539720773696899, -1.3444678783416748, 0.6336475610733032, -2.4591782093048096, 0.8153402209281921, 0.28490278124809265, -1.2085074186325073, -2.059131383895874, -0.20535463094711304, -0.8531085252761841, -0.7261444926261902, 0.7500201463699341, 0.20491854846477509, 2.2029097080230713, 1.1653962135314941, 1.825342059135437, 0.13773413002490997, -0.8969546556472778, -1.4180223941802979, -1.126273512840271, 0.5638408064842224, 0.4486207067966461, -0.006215095520019531, 1.1241512298583984, 0.15783333778381348, -0.1235586404800415, 0.3876262307167053, 0.9552042484283447, -1.8631794452667236, 0.6659509539604187, 0.19955751299858093, 2.5618791580200195, -0.409548282623291, -0.297990083694458, -0.30067309737205505, -1.8271968364715576, -0.48726165294647217, -0.03992972522974014, -0.615892767906189, 0.43692439794540405, -2.0507633686065674, 0.5527179837226868, 0.27079305052757263, 1.3842428922653198, -2.0355944633483887, -0.36061570048332214, -1.1145503520965576, 1.14888334274292, -1.2535631656646729, 0.6973933577537537, 0.5005422830581665, 2.0375053882598877, 0.6364524960517883, -1.1036332845687866, -0.08885008096694946, -0.8320790529251099, -0.6047804355621338, 0.49145957827568054]",unknown position
Jack Dorsey,"[-0.9749082326889038, -0.7117679119110107, -1.5026402473449707, 1.2526729106903076, 1.3135383129119873, -2.0108554363250732, -0.03105400688946247, 0.3036830723285675, 1.549923062324524, 1.0369104146957397, -0.47970518469810486, -0.981469452381134, -0.6419053077697754, -1.0492693185806274, -1.4024163484573364, 0.22126929461956024, 0.4771271347999573, -0.05180986225605011, -1.3677363395690918, 0.3416284918785095, 0.5551693439483643, 0.5156590342521667, 0.9816468358039856, 0.159961998462677, -0.4722696840763092, 1.5951741933822632, 0.8657647371292114, -0.5155923962593079, 1.9783117771148682, 0.2964244484901428, 0.27028560638427734, -0.3326808214187622, 1.4451367855072021, -1.8001034259796143, 0.1411295235157013, 0.8966122269630432, -0.43851831555366516, -0.15262475609779358, -1.6595368385314941, -1.2903493642807007, -0.9260469675064087, 1.1840660572052002, -0.8619917631149292, 0.6590010523796082, 1.4301526546478271, -0.6798973679542542, -0.07877779752016068, 0.6316883563995361, -2.187178611755371, 0.6272786855697632, -0.7294193506240845, 0.7026301026344299, -2.2611329555511475, 0.9059772491455078, -1.2895104885101318, 0.7729949951171875, 0.12605831027030945, 0.4165205657482147, -0.5486684441566467, -1.0621585845947266, -0.004890643060207367, -0.4595107436180115, -0.029850779101252556, -0.10512743890285492, -1.5565028190612793, 2.437920331954956, -0.31560519337654114, 2.3604817390441895, 0.5002062320709229, -0.6485670804977417, -0.5565767288208008, -0.03070151060819626, -0.12394911050796509, -0.6060453057289124, 0.4780615270137787, -0.3412427604198456, 0.21104195713996887, -0.834374725818634, -0.8834598660469055, -1.736053228378296, -1.8989051580429077, -0.15661150217056274, -0.7403998374938965, 0.2028733789920807, -0.4827134311199188, -0.6334338784217834, -0.28925544023513794, -1.2757389545440674, 1.2272707223892212, -0.6701112985610962, -0.8289499878883362, -0.06635983288288116, 1.32736074924469, 0.8888396620750427, -1.4278634786605835, -0.429286926984787, -0.927673876285553, 0.2233673483133316, -2.0739963054656982, -1.13427734375, 0.49026966094970703, 1.8608719110488892, 0.6498552560806274, -1.6974188089370728, 1.3199483156204224, 0.3065139055252075, -0.24389463663101196, -1.156409740447998, 0.21521693468093872, 2.101473569869995, 0.15046779811382294, 1.4450578689575195, 0.6545976400375366, 1.070970892906189, -0.4278459846973419, 1.9055042266845703, -1.8392038345336914, -2.4963512420654297, -1.582965612411499, -0.0014646872878074646, 0.29244619607925415, 1.3209792375564575, -0.5338425040245056, -0.25642648339271545, 1.3586020469665527, -1.2393430471420288, 1.3119685649871826, 0.39825499057769775]",CEO Square
Jennifer Aniston,"[-1.136723518371582, 0.8382779359817505, -0.7331591844558716, -1.9335203170776367, -0.08388004451990128, -1.3103361129760742, 1.8083765506744385, 1.38787841796875, -1.4587498903274536, 0.42269444465637207, 2.3834035396575928, 0.18182004988193512, -0.843548595905304, -0.9811409711837769, 1.519324779510498, 1.1021465063095093, 0.7380770444869995, -0.1308223158121109, -0.3639359474182129, -1.6699162721633911, -1.4528229236602783, -0.6870090365409851, -0.41564029455184937, -0.39732441306114197, -0.9654038548469543, 0.7486118674278259, -0.5794714689254761, 0.44317707419395447, -0.5202755331993103, -0.14869992434978485, 0.5070586204528809, -1.128680944442749, 0.9110720753669739, 0.36117854714393616, 2.2242648601531982, 0.6916928887367249, 0.5905146598815918, 1.4041062593460083, 1.2004485130310059, -0.3273458182811737, -1.9924488067626953, -0.5755954384803772, 0.2280968874692917, -1.5745316743850708, 0.1863187551498413, -2.3745484352111816, 0.6540414690971375, -0.6674100160598755, 0.2921653985977173, -0.34128427505493164, -0.627518355846405, 0.7699500918388367, -0.417340487241745, 0.5974541306495667, -1.6981695890426636, 1.441454291343689, -0.8772820234298706, 0.7200584411621094, 0.6496924757957458, 0.3710806369781494, -0.8173808455467224, -0.16807380318641663, -0.3603397607803345, -1.2705892324447632, 1.614067792892456, 0.1925453245639801, -0.4888332486152649, 1.5001797676086426, -0.0013359449803829193, 2.8935227394104004, 2.1504669189453125, -0.742270827293396, -0.23597121238708496, -0.5713697075843811, 1.0963366031646729, 0.2787840664386749, 0.5991790294647217, -0.915245771408081, -1.102862000465393, 0.03444138169288635, 0.7435078024864197, 0.6149148941040039, -1.3307392597198486, -1.3864169120788574, 0.4187223017215729, 1.2449008226394653, -0.6203387975692749, -0.3849652409553528, -0.18092918395996094, 1.6591635942459106, -1.3656600713729858, -1.2071728706359863, 0.2303488850593567, -1.3441541194915771, -2.075408697128296, 0.43596795201301575, -1.9579565525054932, 0.9291852116584778, 1.0413978099822998, 1.9341261386871338, -1.1401468515396118, -0.8006853461265564, 1.333727478981018, 0.3246285319328308, 0.5986800789833069, 1.8420031070709229, 0.5348641276359558, -0.06812773644924164, -0.023277945816516876, 2.148275375366211, 0.22544145584106445, 1.1063200235366821, -0.8235158920288086, -0.03317587077617645, 1.2278014421463013, -1.2980610132217407, 0.014488104730844498, -1.3734544515609741, 0.5474625825881958, -0.03646405041217804, 1.5349609851837158, -0.47910094261169434, -0.5301405787467957, 1.104589581489563, -0.9534180164337158, 1.1536921262741089, 0.11341574043035507, 0.2916810214519501]",Friends serial actress
Mark Zuckerberg,"[-1.1351802349090576, -0.869420051574707, -1.9499752521514893, -0.06692390143871307, 1.9914978742599487, 0.7332035303115845, 0.0005049407482147217, 2.587632417678833, 1.5757830142974854, -0.0036954283714294434, 1.229575514793396, -1.8076658248901367, -1.4731911420822144, -0.2811296284198761, 0.121136374771595, 1.096281886100769, 0.9530050754547119, -0.4041954278945923, -0.9493703842163086, 0.3664203882217407, 0.5442622900009155, -0.571637749671936, 0.06305787712335587, 1.3067196607589722, -0.8804858326911926, 1.0154975652694702, 2.1727967262268066, -0.10777503252029419, -0.2765061855316162, 0.07741518318653107, -0.6074550151824951, 1.437328815460205, 0.37022843956947327, -0.21270757913589478, 0.3717774748802185, 1.2085977792739868, -1.3969807624816895, -1.4037063121795654, 0.3919713497161865, -0.4376601576805115, -0.9721817374229431, -1.9385372400283813, -0.7375205755233765, -1.193419098854065, 0.4003285765647888, -0.9476072192192078, 0.5711896419525146, -1.3037827014923096, -0.6041712164878845, 0.33295369148254395, -1.244898796081543, 1.0760306119918823, 0.048839062452316284, 0.8348145484924316, 0.6766242384910583, -0.5288039445877075, -0.5324400663375854, -0.7124270796775818, -0.5727572441101074, -0.0703556016087532, -2.075993299484253, 0.5835686922073364, 2.704313278198242, 0.417378693819046, 0.6229702234268188, 0.33686983585357666, 0.09107117354869843, 1.6837024688720703, 1.3992416858673096, -0.31515371799468994, 0.35706451535224915, -0.898405909538269, -0.4687097370624542, 0.7937328815460205, 0.4069811701774597, 0.42372623085975647, -1.2489500045776367, -1.0578111410140991, 0.4865259528160095, 0.06276151537895203, 0.10776328295469284, -0.015352122485637665, -0.34543219208717346, -1.3018978834152222, 1.4847266674041748, 1.381866216659546, -1.6678084135055542, 0.8997248411178589, 0.6752887964248657, 0.17326520383358002, 1.1357834339141846, 0.6119495630264282, -0.27779126167297363, 0.9933965802192688, -1.5459058284759521, 1.7468222379684448, -2.190009117126465, -0.007445452734827995, -1.751323938369751, 1.3593502044677734, -1.2360841035842896, 0.32097917795181274, 0.4794670343399048, -0.5862084627151489, -0.12349654734134674, -1.2855613231658936, -0.2948041558265686, 0.033036697655916214, -0.5545455813407898, 1.133681297302246, -0.07109516859054565, 0.5690109729766846, 0.6123201847076416, -0.44491681456565857, -0.20588894188404083, -0.9555670022964478, -0.22578541934490204, -0.03026828169822693, 1.0993496179580688, -0.409433513879776, -0.12053211033344269, 1.1028788089752197, 1.0042184591293335, -1.1410995721817017, -0.5296012759208679, 0.2282761037349701, 1.6062742471694946, -0.2317293882369995]",CEO Meta
Nola,"[0.16896623373031616, -1.3141000270843506, -1.7408486604690552, -1.7308247089385986, -0.04350587725639343, -1.898051142692566, 0.6292439699172974, 0.5887066721916199, -0.8161969780921936, -0.11190186440944672, -0.24486899375915527, -0.2940273582935333, 0.5995683670043945, -2.0170912742614746, 1.2769711017608643, 1.6684231758117676, 2.0580804347991943, -1.7377196550369263, 0.05589911714196205, -1.142395257949829, -0.1780807375907898, -0.3388863205909729, -2.1139934062957764, 1.328672170639038, 0.1550968438386917, 0.20493310689926147, 1.1245039701461792, 1.4193079471588135, 0.0956885814666748, 1.2254852056503296, -0.9167550802230835, 0.9465416669845581, -0.549837052822113, -0.25991758704185486, 1.314670205116272, -0.367051899433136, -1.3626693487167358, 0.20869222283363342, 1.0045552253723145, 0.39717379212379456, -0.02298647165298462, 0.6415569186210632, -0.3327569365501404, -0.39903584122657776, 0.17984835803508759, -1.3584325313568115, 1.530120849609375, -0.3147121071815491, -0.29665276408195496, 0.5313235521316528, -1.3001588582992554, 1.487553596496582, 0.7289779782295227, -1.058428168296814, 0.03216440603137016, -0.16071483492851257, -0.235442116856575, -0.004924356937408447, 0.7158768177032471, 0.6505165696144104, -0.49767205119132996, -1.1943718194961548, -0.1277000457048416, 0.754804253578186, 1.061180830001831, 0.7180837392807007, 0.8377845883369446, 0.19440408051013947, 0.5710910558700562, -0.7145035266876221, 0.9047260284423828, -0.707438588142395, 0.23253196477890015, -1.4710112810134888, 0.6958649158477783, -0.2144097089767456, -0.12371917068958282, 0.6932514905929565, -0.033387258648872375, -1.7012001276016235, -1.0720361471176147, 0.3766475319862366, -0.9985750317573547, -0.9207946062088013, 1.3258165121078491, -0.38068753480911255, -0.300150603055954, -2.2883591651916504, -1.1090636253356934, 1.5030033588409424, 1.0788049697875977, 0.3014189600944519, -0.8372069597244263, -0.10498011857271194, 0.02273029088973999, 0.7587323188781738, -0.27487558126449585, 0.008881127461791039, -1.8110454082489014, 1.5548689365386963, 0.7141514420509338, 1.1411850452423096, 1.414729356765747, -0.32895177602767944, -1.0483465194702148, 0.4976349472999573, -0.5667275786399841, 0.28218743205070496, -1.3881816864013672, 0.7533817887306213, -0.19353044033050537, 1.203614354133606, 1.4130069017410278, -0.23160378634929657, 0.04004323482513428, -1.3388335704803467, -0.4105413854122162, 0.8075222969055176, 0.12609882652759552, 0.03706875443458557, 2.0675718784332275, 0.37197068333625793, 0.25557631254196167, -0.6876519918441772, -0.5187051296234131, -0.585979163646698, 0.06271179765462875, -1.8691027164459229]",CEO rokan hulu
